序号,代码,名称,最新价(元) 2026.06.09,涨跌幅(%) 2026.06.09,市盈率(TTM)(倍) 2026.06.09,证券类型,涨跌额(元) 2026.06.09,最高价(元) 2026.06.09,最低价(元) 2026.06.09,换手率(%) 2026.06.09,量比 2026.06.09,成交量(股) 2026.06.09,成交额(元) 2026.06.09,市盈率(动)(倍) 2026.06.09,市净率(倍) 2026.06.09,总市值(元) 2026.06.09,流通市值(元) 2026.06.09
721,600741,华域汽车,16.72,1.15,7.35,A股,0.190,16.75,16.50,0.44,0.75,1392.44万,2.32亿,10.59,0.7739,527.14亿,527.14亿
722,000651,格力电器,37.88,-0.60,7.27,A股,-0.230,38.08,37.59,0.72,1.07,3971.46万,15.01亿,8.72,1.3957,2121.81亿,2091.74亿
723,000623,吉林敖东,16.61,0.54,7.24,A股,0.090,16.66,16.36,0.84,0.93,999.92万,1.65亿,5.73,0.6307,198.64亿,197.86亿
724,601398,工商银行,7.54,0.53,7.24,A股,0.040,7.65,7.46,0.20,1.66,5.40亿,40.85亿,7.73,0.6922,2.69万亿,2.03万亿
725,601187,厦门银行,7.26,-0.82,7.14,A股,-0.060,7.37,7.17,0.59,0.96,1558.45万,1.14亿,6.91,0.7027,191.60亿,191.18亿
726,002142,宁波银行,32.29,4.13,7.08,A股,1.280,32.45,30.80,0.66,1.48,4336.11万,13.88亿,6.52,0.9171,2132.30亿,2130.96亿
727,000544,中原环保,7.73,-0.77,7.08,A股,-0.060,7.81,7.68,0.28,0.64,275.40万,2127.94万,5.42,0.8239,75.34亿,75.34亿
728,000685,中山公用,10.37,0.10,7.05,A股,0.010,10.45,10.20,1.13,0.67,1412.43万,1.46亿,6.52,0.7911,152.20亿,129.27亿
729,600064,南京高科,7.14,-0.70,7.00,A股,-0.050,7.21,7.13,0.67,0.72,1154.84万,8271.89万,4.93,0.6257,123.55亿,123.55亿
730,601825,沪农商行,8.78,1.27,6.86,A股,0.110,8.83,8.63,0.18,0.80,1667.26万,1.46亿,5.90,0.6430,846.78亿,823.08亿
731,601319,中国人保,6.61,1.23,6.86,A股,0.080,6.63,6.51,0.15,0.86,5475.00万,3.61亿,8.29,0.9153,2923.21亿,2346.40亿
732,601658,邮储银行,4.99,0.20,6.82,A股,0.010,5.02,4.96,0.16,1.00,1.19亿,5.94亿,5.82,0.5805,5992.74亿,3619.14亿
733,000913,钱江摩托,11.03,-0.09,6.82,A股,-0.010,11.14,10.91,0.49,0.58,255.68万,2817.78万,-37.30,1.1582,58.06亿,57.37亿
734,601117,中国化学,7.29,1.25,6.79,A股,0.090,7.32,7.15,1.09,0.84,6643.64万,4.81亿,7.10,0.6466,445.18亿,443.82亿
735,600704,物产中大,4.69,-0.21,6.72,A股,-0.010,4.72,4.65,0.64,0.69,3309.37万,1.55亿,6.24,0.5754,242.53亿,242.53亿
736,002966,苏州银行,8.06,-0.25,6.58,A股,-0.020,8.20,7.99,1.26,1.67,5540.49万,4.49亿,5.36,0.6955,360.34亿,354.28亿
737,601916,浙商银行,3.07,0.66,6.50,A股,0.020,3.11,3.03,0.94,1.33,2.02亿,6.20亿,3.52,0.4593,843.16亿,661.41亿
738,601665,齐鲁银行,6.23,2.64,6.49,A股,0.160,6.30,6.02,1.09,1.50,6734.28万,4.18亿,6.13,0.7579,383.38亿,383.38亿
739,001227,兰州银行,2.09,-0.48,6.48,A股,-0.010,2.11,2.08,1.38,1.28,5809.01万,1.22亿,5.60,0.3867,119.04亿,88.15亿
740,601628,中国人寿,33.14,0.42,6.47,A股,0.140,33.25,32.80,0.10,0.64,2157.25万,7.12亿,12.01,1.5657,9366.92亿,6900.92亿
741,600036,招商银行,38.49,-0.03,6.44,A股,-0.010,38.64,38.40,0.32,0.75,6645.00万,25.59亿,6.41,0.8572,9707.12亿,7940.08亿
742,601077,渝农商行,6.94,3.27,6.40,A股,0.220,6.96,6.68,0.82,1.40,7274.55万,5.01亿,5.01,0.5854,788.18亿,613.37亿
743,000885,城发环境,12.66,-0.86,6.36,A股,-0.110,12.82,12.61,0.49,0.71,313.66万,3977.41万,6.47,0.8516,81.29亿,81.29亿
744,601009,南京银行,11.46,0.88,6.35,A股,0.100,11.53,11.27,0.31,0.83,3890.48万,4.45亿,5.37,0.7643,1416.86亿,1416.86亿
745,601328,交通银行,6.88,0.29,6.31,A股,0.020,6.93,6.81,0.70,1.03,1.84亿,12.65亿,5.81,0.5222,6079.43亿,1793.78亿
746,600000,浦发银行,9.37,0.00,6.21,A股,0.000,9.44,9.29,0.21,1.00,7080.18万,6.64亿,4.37,0.4140,3120.76亿,3120.76亿
747,601838,成都银行,19.29,1.69,6.09,A股,0.320,19.32,18.90,0.56,0.97,2383.07万,4.58亿,6.48,0.8888,817.59亿,817.59亿
748,600919,江苏银行,11.66,1.92,6.06,A股,0.220,11.73,11.40,0.73,1.46,1.34亿,15.56亿,5.06,0.8099,2139.76亿,2139.76亿
749,002948,青岛银行,5.65,3.29,6.03,A股,0.180,5.66,5.43,1.45,1.30,5105.17万,2.85亿,5.39,0.7729,328.85亿,199.00亿
750,600926,杭州银行,16.28,0.93,6.01,A股,0.150,16.41,16.05,0.75,1.16,5409.59万,8.80亿,4.45,0.8552,1180.14亿,1180.14亿
751,601998,中信银行,7.65,-0.52,5.98,A股,-0.040,7.78,7.56,0.25,1.12,1.00亿,7.69亿,5.30,0.5815,4256.86亿,3118.37亿
752,600928,西安银行,3.48,-0.29,5.74,A股,-0.010,3.52,3.45,0.47,0.87,2058.66万,7170.19万,5.12,0.4310,154.67亿,153.93亿
753,002612,朗姿股份,12.21,-0.33,5.68,A股,-0.040,12.33,12.11,1.41,0.80,358.58万,4378.37万,27.37,1.9215,54.02亿,31.07亿
754,601601,中国太保,31.55,1.12,5.63,A股,0.350,31.73,31.03,0.59,0.90,4041.18万,12.72亿,7.56,0.9497,3035.22亿,2159.61亿
755,601128,DR常熟银,6.40,1.75,5.38,A股,0.110,6.42,6.28,1.70,1.37,6197.93万,3.95亿,4.85,0.7379,233.48亿,233.48亿
756,600502,安徽建工,4.83,-0.62,5.36,A股,-0.030,4.90,4.80,1.21,0.74,2077.51万,1.00亿,6.22,0.6795,82.91亿,82.91亿
757,601229,上海银行,9.13,-0.33,5.35,A股,-0.030,9.21,9.08,0.30,0.95,4227.64万,3.87亿,5.12,0.5199,1297.28亿,1297.28亿
758,601169,北京银行,5.14,0.39,5.30,A股,0.020,5.16,5.10,0.50,1.04,1.05亿,5.38亿,3.36,0.3835,1086.75亿,1086.75亿
